Date,Portfolio_CumReturn,SP500_CumReturn,NASDAQ_CumReturn,Vol_Daily,Vol_Weekly,Vol_Monthly,Drawdown_Current,Drawdown_Max,Return_Port_Daily,Return_Port_Weekly,Return_Port_Monthly,Return_SP_Weekly,Return_SP_Monthly,Return_NASDAQ_Weekly,Return_NASDAQ_Monthly,Sharpe_Monthly_Rolling
2025-03-10,222.16,119.34,119.71,55.22,60.99,60.4,-28.41,-28.41,-5.07,-6.21,-17.61,-4.02,-6.83,-4.81,-10.53,-3.534
2025-03-11,225.86,118.43,119.49,55.24,60.91,59.6,-27.22,-28.41,1.66,-6.23,-18.57,-3.57,-8.15,-4.64,-11.56,-3.825
2025-03-12,240.37,119.01,120.94,55.59,81.81,64.8,-22.54,-28.41,6.43,-1.32,-12.84,-4.16,-7.73,-4.87,-10.16,-2.221
2025-03-13,240.04,117.36,118.58,55.58,65.85,64.76,-22.65,-28.41,-0.14,4.54,-11.86,-3.78,-8.76,-4.24,-11.94,-2.016
2025-03-14,252.69,119.85,121.67,55.73,72.85,66.66,-18.57,-28.41,5.27,7.98,-10.06,-2.27,-7.79,-2.43,-10.99,-1.58
2025-03-17,248.25,120.62,122.04,55.76,55.38,65.85,-20.0,-28.41,-1.76,11.74,-13.91,1.08,-7.19,1.95,-11.08,-2.399
2025-03-18,239.73,119.34,119.96,55.81,69.12,66.51,-22.75,-28.41,-3.43,6.14,-16.86,0.76,-8.18,0.39,-12.6,-2.995
2025-03-19,244.07,120.63,121.65,55.77,53.43,67.01,-21.35,-28.41,1.81,1.54,-15.69,1.36,-7.41,0.58,-11.43,-2.719
2025-03-20,246.17,120.36,121.24,55.78,53.32,67.21,-20.67,-28.41,0.86,2.55,-14.86,2.56,-7.83,2.25,-11.79,-2.536
2025-03-21,244.44,120.46,121.87,55.79,33.01,67.04,-21.23,-28.41,-0.7,-3.26,-15.99,0.51,-7.36,0.17,-10.91,-2.781
2025-03-24,252.15,122.59,124.65,55.85,40.19,67.2,-18.74,-28.41,3.15,1.57,-9.68,1.63,-4.08,2.13,-6.84,-1.487
2025-03-25,250.65,122.78,125.22,55.85,25.95,66.49,-19.23,-28.41,-0.59,4.56,-7.35,2.89,-3.45,4.39,-5.26,-1.053
2025-03-26,236.26,121.41,122.66,56.05,51.84,68.64,-23.86,-28.41,-5.74,-3.2,-10.16,0.65,-4.08,0.84,-5.93,-1.534
2025-03-27,231.42,121.01,122.01,56.05,50.77,67.19,-25.42,-28.41,-2.05,-5.99,-15.11,0.54,-4.41,0.64,-6.66,-2.589
2025-03-28,227.77,118.62,118.71,56.06,50.62,61.09,-26.6,-28.41,-1.58,-6.82,-8.71,-1.53,-4.79,-2.59,-6.59,-1.492
2025-03-31,225.09,119.28,118.55,56.04,32.32,59.06,-27.46,-28.41,-1.18,-10.73,-13.23,-2.7,-5.75,-4.89,-8.21,-2.589
2025-04-01,228.76,119.73,119.58,56.03,41.87,51.61,-26.28,-28.41,1.63,-8.73,-3.42,-2.49,-3.7,-4.5,-4.91,-0.562
2025-04-02,229.33,120.54,120.62,55.88,23.93,51.21,-26.1,-28.41,0.25,-2.94,-4.79,-0.72,-1.85,-1.66,-3.74,-0.905
2025-04-03,211.42,114.7,113.42,56.38,57.49,57.31,-31.87,-31.87,-7.81,-8.64,-13.21,-5.21,-7.64,-7.04,-10.79,-2.68
2025-04-04,195.87,107.85,106.82,56.81,69.81,59.38,-36.88,-36.88,-7.36,-14.01,-14.7,-9.08,-11.58,-10.02,-13.73,-2.914
2025-04-07,202.78,107.6,106.93,56.9,83.71,60.52,-34.65,-36.88,3.53,-9.91,-13.35,-9.79,-12.27,-9.8,-14.25,-2.539
